[2026-06-11T06:31:17.887Z] GET file:///C:/Users/32538/AppData/Local/Temp/gauntrix-fluid.html → 200 (?ms, 83442B)
[2026-06-11T06:31:17.893Z] GET https://fonts.googleapis.com/css2?family=Instrument+Serif:ital@0;1&family=Inter:wght@300;400;500;600&family=JetBrains+Mono:wght@400;600&display=swap → 200 (227ms, 16649B)
[2026-06-11T06:31:17.893Z] GET https://assets.lemonsqueezy.com/lemon.js → 200 (113ms, 3861B)
[2026-06-11T06:31:17.893Z] GET https://gc.zgo.at/count.js → 200 (109ms, 9213B)
[2026-06-11T06:31:17.893Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → 200 (76ms, 72214B)
[2026-06-11T06:31:17.893Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → 200 (74ms, 43380B)
[2026-06-11T06:31:18.461Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → pending (?ms, ?B)
[2026-06-11T06:31:18.461Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → pending (?ms, ?B)
[2026-06-11T06:31:18.462Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → pending (?ms, ?B)
[2026-06-11T06:31:18.463Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zUTjg.woff2 → pending (?ms, ?B)
[2026-06-11T06:31:18.592Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/build/three.module.js → pending (?ms, ?B)
[2026-06-11T06:31:18.592Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/objects/MarchingCubes.js → pending (?ms, ?B)
[2026-06-11T06:31:18.592Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/environments/RoomEnvironment.js → pending (?ms, ?B)
[2026-06-11T06:31:46.693Z] GET file:///C:/Users/32538/AppData/Local/Temp/gauntrix-fluid.html → 200 (2ms, 83442B)
[2026-06-11T06:31:46.861Z] GET https://fonts.googleapis.com/css2?family=Instrument+Serif:ital@0;1&family=Inter:wght@300;400;500;600&family=JetBrains+Mono:wght@400;600&display=swap → 200 (1ms, 16649B)
[2026-06-11T06:31:46.861Z] GET https://assets.lemonsqueezy.com/lemon.js → 200 (71ms, ?B)
[2026-06-11T06:31:46.861Z] GET https://gc.zgo.at/count.js → 200 (127ms, ?B)
[2026-06-11T06:31:46.861Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → 200 (128ms, ?B)
[2026-06-11T06:31:46.861Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → 200 (124ms, ?B)
[2026-06-11T06:31:46.932Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (57ms, ?B)
[2026-06-11T06:31:46.932Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (58ms, ?B)
[2026-06-11T06:31:46.932Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (58ms, ?B)
[2026-06-11T06:31:46.932Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizBRFtNs2ka5fXjeivQ4LroWlx-6zUTjg.woff2 → 200 (60ms, ?B)
[2026-06-11T06:31:47.423Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/build/three.module.js → 200 (68ms, ?B)
[2026-06-11T06:31:47.423Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/objects/MarchingCubes.js → 200 (56ms, 38025B)
[2026-06-11T06:31:47.423Z] GET https://cdn.jsdelivr.net/npm/three@0.160.0/examples/jsm/environments/RoomEnvironment.js → 200 (56ms, 3735B)
[2026-06-11T06:34:34.870Z] GET file:///C:/Users/32538/AppData/Local/Temp/gauntrix-fluid.html → 200 (?ms, ?B)
[2026-06-11T06:34:35.281Z] GET https://fonts.googleapis.com/css2?family=Instrument+Serif:ital@0;1&family=Inter:wght@300;400;500;600&family=JetBrains+Mono:wght@400;600&display=swap → 200 (?ms, 16649B)
[2026-06-11T06:34:35.281Z] GET https://assets.lemonsqueezy.com/lemon.js → 200 (1ms, 3861B)
[2026-06-11T06:34:35.281Z] GET https://gc.zgo.at/count.js → 200 (1ms, 9213B)
[2026-06-11T06:34:35.281Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → 200 (1ms, 72214B)
[2026-06-11T06:34:35.281Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → 200 (1ms, 43380B)
[2026-06-11T06:34:35.283Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, 48256B)
